level,bpm,ur,notes,type
1,100,350,6,S
2,101,348,7,S
3,102,346,7,S
4,103,344,8,S
5,104,342,9,S
6,104,341,10,S
7,105,339,10,S
8,106,337,11,S
9,107,335,12,S
10,108,333,13,S
11,109,331,13,S
12,110,329,14,S
13,111,327,15,S
14,112,325,16,S
15,112,323,16,S
16,113,322,17,S
17,114,320,18,S
18,115,318,18,S
19,116,316,19,S
20,117,314,20,S
21,118,312,21,S
22,119,310,21,S
23,119,308,22,S
24,120,306,23,S
25,121,304,24,S
26,122,303,24,S
27,123,301,25,S
28,124,299,26,S
29,125,297,27,S
30,126,295,27,S
31,127,293,28,S
32,127,291,29,S
33,128,289,29,S
34,129,287,30,S
35,130,285,31,S
36,131,284,32,S
37,132,282,32,S
38,133,280,33,S
39,134,278,34,S
40,135,276,35,S
41,135,274,35,S
42,136,272,36,S
43,137,270,37,S
44,138,268,38,S
45,139,266,38,S
46,140,265,39,S
47,141,263,40,S
48,142,261,41,S
49,143,259,41,S
50,143,257,42,S
51,144,255,43,S
52,145,253,43,S
53,146,251,44,S
54,147,249,45,S
55,148,247,46,S
56,149,246,46,S
57,150,244,47,S
58,151,242,48,S
59,151,240,49,S
60,152,238,49,S
61,153,236,50,S
62,154,234,51,S
63,155,232,52,S
64,156,230,52,S
65,157,228,53,S
66,158,227,54,S
67,158,225,54,S
68,159,223,55,S
69,160,221,56,S
70,161,219,57,S
71,162,217,57,S
72,163,215,58,S
73,164,213,59,S
74,165,211,60,S
75,166,209,60,S
76,166,208,61,S
77,167,206,62,S
78,168,204,63,S
79,169,202,63,S
80,170,200,64,S
81,207.7777777777778,200,8,B
82,172,195,80,S
83,210.22222222222223,195,8,B
84,174,190,96,S
85,212.66666666666669,190,8,B
86,176,185,112,S
87,215.11111111111114,185,8,B
88,178,180,128,S
89,217.55555555555557,180,8,B
90,180,180,1024,S
91,220.00000000000003,180,8,B
92,182,175,1056,S
93,222.44444444444446,175,8,B
94,184,170,1088,S
95,224.8888888888889,170,8,B
96,186,165,1120,S
97,227.33333333333334,165,8,B
98,188,160,1152,S
99,229.7777777777778,160,8,B
100,191,176,2048,S
101,233.44444444444446,176,8,B
102,193,171,2112,S
103,235.8888888888889,171,8,B
104,195,166,2176,S
105,238.33333333333334,166,8,B
106,197,161,2240,S
107,240.7777777777778,161,8,B
108,199,156,2304,S
109,243.22222222222223,156,8,B
110,201,172,4096,S
111,245.66666666666669,172,8,B
112,203,167,4224,S
113,248.11111111111114,167,8,B
114,205,162,4352,S
115,250.55555555555557,162,8,B
116,207,157,4480,S
117,253.00000000000003,157,8,B
118,209,152,4608,S
119,255.44444444444446,152,8,B
120,212,168,8192,S
121,259.11111111111114,168,8,B
122,214,163,8448,S
123,261.5555555555556,163,8,B
124,216,158,8704,S
125,264,158,8,B
126,218,153,8960,S
127,266.44444444444446,153,8,B
128,220,148,9216,S
129,268.8888888888889,148,8,B
130,222,164,10000,S
131,271.33333333333337,164,8,B
132,224,159,10000,S
133,273.7777777777778,159,8,B
134,226,154,10000,S
135,276.22222222222223,154,8,B
136,228,149,10000,S
137,278.6666666666667,149,8,B
138,230,144,10000,S
139,281.11111111111114,144,8,B
140,233,160,10000,S
141,284.7777777777778,160,8,B
142,235,155,10000,S
143,287.22222222222223,155,8,B
144,237,150,10000,S
145,289.6666666666667,150,8,B
146,239,145,10000,S
147,292.11111111111114,145,8,B
148,241,140,10000,S
149,294.5555555555556,140,8,B
150,243,156,10000,S
151,297,156,8,B
152,245,151,10000,S
153,299.44444444444446,151,8,B
154,247,146,10000,S
155,301.8888888888889,146,8,B
156,249,141,10000,S
157,304.33333333333337,141,8,B
158,251,136,10000,S
159,306.7777777777778,136,8,B
160,254,152,10000,S
161,310.44444444444446,152,8,B
162,256,147,10000,S
163,312.8888888888889,147,8,B
164,258,142,10000,S
165,315.33333333333337,142,8,B
166,260,137,10000,S
167,317.7777777777778,137,8,B
168,262,132,10000,S
169,320.22222222222223,132,8,B
170,264,148,10000,S
171,322.6666666666667,148,8,B
172,266,143,10000,S
173,325.11111111111114,143,8,B
174,268,138,10000,S
175,327.5555555555556,138,8,B
176,270,133,10000,S
177,330,133,8,B
178,272,128,10000,S
179,332.44444444444446,128,8,B
180,275,144,10000,S
181,336.11111111111114,144,8,B
182,277,139,10000,S
183,338.5555555555556,139,8,B
184,279,134,10000,S
185,341,134,8,B
186,281,129,10000,S
187,343.44444444444446,129,8,B
188,283,124,10000,S
189,345.8888888888889,124,8,B
190,285,140,10000,S
191,348.33333333333337,140,8,B
192,287,135,10000,S
193,350.7777777777778,135,8,B
194,289,130,10000,S
195,353.22222222222223,130,8,B
196,291,125,10000,S
197,355.6666666666667,125,8,B
198,293,120,10000,S
199,358.11111111111114,120,8,B
200,296,136,10000,S
